citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
59 FR 52403, 94-25940,52403,https://www.federalregister.gov/documents/1994/10/18/94-25940/termination-of-emergency-with-respect-to-haiti,"",Presidential Document,Executive Order,10/18/1994,1994-10-14,52403,Termination of Emergency With Respect to Haiti,"Revokes: EO 12775, October 4, 1991; EO 12779, October 28, 1991; EO 12853, June 30, 1993; EO 12872, October 18, 1993; EO 12914, May 7, 1994; EO 12917, May 21, 1994; EO 12920, June 10, 1994; EO 12922, June 21, 1994",12932,""
59 FR 50473, 94-24589,50473,https://www.federalregister.gov/documents/1994/10/03/94-24589/delegation-of-authority-regarding-the-naval-petroleum-and-oil-shale-reserves,"",Presidential Document,Executive Order,10/03/1994,1994-09-29,50473,Delegation of Authority Regarding the Naval Petroleum and Oil Shale Reserves,"",12929,""
60 FR 19825, 95-9941,19843,https://www.federalregister.gov/documents/1995/04/20/95-9941/classified-national-security-information,https://www.govinfo.gov/content/pkg/FR-1995-04-20/pdf/95-9941.pdf,Presidential Document,Executive Order,04/20/1995,1995-04-17,19825,Classified National Security Information,"Revokes: EO 12356, April 6, 1982; Amended by: EO 12972, September 18, 1995; EO 13142, November 19, 1999; EO 13292, March 25, 2003; Revoked by: EO 13526, December 29, 2009; See: Order of October 13, 1995; Order of February 27, 1996; Order of February 26, 1997; Final rule of July 1, 1997 (62 FR 36984); EO 13231, October 16, 2001; Military order of November 13, 2001 (66 FR 57833); Order of December 10, 2001 (66 FR 64347); EO 13284, January 23, 2003; EO 13311, July 29, 2003; Order of September 17, 2003 (68 FR 55257); EO 13329, February 24, 2004; EO 13354, August 27, 2004; EO 13356, August 27, 2004; Order of April 21, 2005; EO 13387, October 14, 2005; EO 13388, October 25, 2005; EO 13462, February 29, 2008; EO 13467, June 30, 2008; EO 13470, July 30, 2008; EO 13516, October 28, 2009",12958,""
61 FR 45871, 96-22462,45872,https://www.federalregister.gov/documents/1996/08/30/96-22462/amendment-to-executive-order-no-12580,https://www.govinfo.gov/content/pkg/FR-1996-08-30/pdf/96-22462.pdf,Presidential Document,Executive Order,08/30/1996,1996-08-28,45871,Amendment to Executive Order No. 12580,"Amends: EO 12580, January 23, 1987",13016,""
61 FR 47659, 96-23187,47660,https://www.federalregister.gov/documents/1996/09/09/96-23187/advisory-commission-on-consumer-protection-and-quality-in-the-health-care-industry,https://www.govinfo.gov/content/pkg/FR-1996-09-09/pdf/96-23187.pdf,Presidential Document,Executive Order,09/09/1996,1996-09-05,47659,Advisory Commission on Consumer Protection and Quality in the Health Care Industry,"Amended by: EO 13040, March 25, 1997; EO 13056, July 21, 1997;;
Revoked by: EO 13138 September 30, 1999",13017,""
62 FR 34609, 97-16957,34610,https://www.federalregister.gov/documents/1997/06/26/97-16957/internal-revenue-service-management-board,https://www.govinfo.gov/content/pkg/FR-1997-06-26/pdf/97-16957.pdf,Presidential Document,Executive Order,06/26/1997,1997-06-24,34609,Internal Revenue Service Management Board,"",13051,""
62 FR 14773, 97-8123,14773,https://www.federalregister.gov/documents/1997/03/28/97-8123/amendment-to-executive-order-13017-advisory-commission-on-consumer-protection-and-quality-in-the,https://www.govinfo.gov/content/pkg/FR-1997-03-28/pdf/97-8123.pdf,Presidential Document,Executive Order,03/28/1997,1997-03-25,14773,"Amendment to Executive Order 13017, Advisory Commission on Consumer Protection and Quality in the Health Care Industry","Amends: EO 13017, September 5, 1996
Note: EO 13040 is nullified by virtue of the Commission being abolished by EO 13138, September 30, 1999.",13040,""
62 FR 28301, 97-13704,28302,https://www.federalregister.gov/documents/1997/05/22/97-13704/prohibiting-new-investment-in-burma,https://www.govinfo.gov/content/pkg/FR-1997-05-22/pdf/97-13704.pdf,Presidential Document,Executive Order,05/22/1997,1997-05-20,28301,Prohibiting New Investment in Burma,"Amended by: EO 13310, July 28, 2003
See: EO 13448, October 18, 2007; EO 13464, April 30, 2008; Notice of May 18, 1998; Notice of May 16, 2003; Notice of May 17, 2004; Notice of May 17, 2005; Notice of May 18, 2006; Notice of May 17, 2007; Notice of May 16, 2008; Notice of May 14, 2009; Notice of May 13, 2010;  EO 13619, July 21, 2012
Revoked by: EO 13742, October 7, 2016",13047,""
62 FR 19217, 97-10331,19218,https://www.federalregister.gov/documents/1997/04/18/97-10331/increasing-seat-belt-use-in-the-united-states,https://www.govinfo.gov/content/pkg/FR-1997-04-18/pdf/97-10331.pdf,Presidential Document,Executive Order,04/18/1997,1997-04-16,19217,Increasing Seat Belt Use in the United States,"Amended by: EO 13652, September 30, 2013;
Revokes: EO 12566, September 26, 1986",13043,""
62 FR 36965, 97-18288,36965,https://www.federalregister.gov/documents/1997/07/10/97-18288/eligibility-of-certain-overseas-employees-for-noncompetitive-appointments,https://www.govinfo.gov/content/pkg/FR-1997-07-10/pdf/97-18288.pdf,Presidential Document,Executive Order,07/10/1997,1997-07-07,36965,Eligibility of Certain Overseas Employees for Noncompetitive Appointments,"Amended by: EO 13062, September 29, 1997",13054,""
62 FR 39099, 97-19341,39100,https://www.federalregister.gov/documents/1997/07/21/97-19341/coordination-of-united-states-government-international-exchanges-and-training-programs,https://www.govinfo.gov/content/pkg/FR-1997-07-21/pdf/97-19341.pdf,Presidential Document,Executive Order,07/21/1997,1997-07-15,39099,Coordination of United States Government International Exchanges and Training Programs,"",13055,""
62 FR 43451, 97-21607,43452,https://www.federalregister.gov/documents/1997/08/13/97-21607/protecting-federal-employees-and-the-public-from-exposure-to-tobacco-smoke-in-the-federal-workplace,https://www.govinfo.gov/content/pkg/FR-1997-08-13/pdf/97-21607.pdf,Presidential Document,Executive Order,08/13/1997,1997-08-09,43451,Protecting Federal Employees and the Public From Exposure to Tobacco Smoke in the Federal Workplace,"",13058,""
62 FR 18017, 97-9700,18018,https://www.federalregister.gov/documents/1997/04/14/97-9700/implementing-for-the-united-states-article-viii-of-the-agreement-establishing-the-world-trade,https://www.govinfo.gov/content/pkg/FR-1997-04-14/pdf/97-9700.pdf,Presidential Document,Executive Order,04/14/1997,1997-04-09,18017,Implementing for the United States Article VIII of the Agreement Establishing the World Trade Organization Concerning Legal Capacity and Privileges and Immunities,"",13042,""
62 FR 12529, 97-6703,12529,https://www.federalregister.gov/documents/1997/03/14/97-6703/exclusion-of-the-naval-special-warfare-development-group-from-the-federal-labor-management-relations,https://www.govinfo.gov/content/pkg/FR-1997-03-14/pdf/97-6703.pdf,Presidential Document,Executive Order,03/14/1997,1997-03-11,12529,Exclusion of the Naval Special Warfare Development Group From the Federal Labor-Management Relations Program,"Amends: EO 12171, November 19, 1979",13039,""
62 FR 48445, 97-24591,48448,https://www.federalregister.gov/documents/1997/09/15/97-24591/federal-support-of-community-efforts-along-american-heritage-rivers,https://www.govinfo.gov/content/pkg/FR-1997-09-15/pdf/97-24591.pdf,Presidential Document,Executive Order,09/15/1997,1997-09-11,48445,Federal Support of Community Efforts Along American Heritage Rivers,"Amended by: EO 13093, July 27, 1998",13061,""
62 FR 35945, 97-17566,35945,https://www.federalregister.gov/documents/1997/07/02/97-17566/adding-members-to-and-extending-the-presidents-council-on-sustainable-development,https://www.govinfo.gov/content/pkg/FR-1997-07-02/pdf/97-17566.pdf,Presidential Document,Executive Order,07/02/1997,1997-06-30,35945,Adding Members to and Extending the President's Council on Sustainable Development,"Amends: EO 12852, June 29, 1993 
Note: EO 13053 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999.",13053,""
