citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
35 FR 5311, ,"","","",Presidential Document,Executive Order,03/31/1970,1970-03-26,"",Authorizing veterans readjustment appointments for veterans of the Vietnam era,"Revokes: EO 11397, February 9, 1968
Amended by: EO 12107, December 28, 1978
See: Pub. L. 93-508 (88 Stat. 1593)",11521,""
35 FR 5993, ,"","","",Presidential Document,Executive Order,04/11/1970,1970-04-09,"",Establishing the National Industrial Pollution Control Council,"Council terminated on January 5, 1975, by Pub. L. 92-463 (86 Stat. 770, 5 U.S.C. App.)
See: EO 11007, February 26, 1962",11523,""
35 FR 6247, ,"","","",Presidential Document,Executive Order,04/17/1970,1970-04-15,"",Adjusting rates of pay for certain statutory schedules,"Superseded by: EO 11811, October 7,       1974",11524,""
35 FR 6251, ,"","","",Presidential Document,Executive Order,04/17/1970,1970-04-15,"",Adjusting rates of monthly basic pay for members of the Uniformed Services,"Superseded by: EO 11812, October 7,       1974",11525,""
35 FR 6571, ,"","","",Presidential Document,Executive Order,04/24/1970,1970-04-23,"",Amending the Selective Service regulations,"Amends: EO 10001, September 17, 1948; EO       10202, January 12, 1951; EO 10292, September       25, 1951; EO 10659, February 15, 1956; EO       10735, October 17, 1957; EO 10984,       January 5, 1962; EO 11098, March 14, 1963;       EO 11119, September 10, 1963; EO       11241, August 26, 1965; EO 11360, June       30, 1967; EO 11497, November 20, 1969
Revoked by: EO 12553, February 25, 1986",11527,""
35 FR 6695, ,"","","",Presidential Document,Executive Order,04/28/1970,1970-04-24,"",Changing the jurisdiction and membership of the New England River Basins Commission,"Amends: EO 11371, September 6, 1967
Revoked by: EO 12319, September 9,       1981
See: EO 11613, August 2, 1971",11528,""
35 FR 8335, ,"","","",Presidential Document,Executive Order,05/28/1970,1970-05-26,"","Amending Executive Order No. 10624, as amended, providing for regulations relating to personnel of the Department of Agriculture assigned to service abroad","Amends: EO 10624, July 28, 1955
See: EO 10903, January 9, 1961",11530,""
35 FR 8337, ,"","","",Presidential Document,Executive Order,05/28/1970,1970-05-26,"","Delegating authority of the President under section 4102(a)(2)(B) of Title 5, United States Code, to designate U.S. marshals and U.S. attorneys for training","Superseded by: EO 11895, January 6, 1976",11531,""
35 FR 9809, ,"","","",Presidential Document,Executive Order,06/16/1970,1970-06-12,"","Inspection of tax returns by the Committee on the Judiciary, House of Representatives","",11535,""
35 FR 9991, ,"","","",Presidential Document,Executive Order,06/18/1970,1970-06-16,"",Amending the Selective Service regulations concerning the ordering of registrants for induction,"Amends: EO 10001, September 17, 1948; EO       10202, January 12, 1951; EO 10659, February       15, 1956; EO 10735, October 17, 1957; EO       10984, January 5, 1962; EO 11098, March       14, 1963; EO 11119, September 10,       1963; EO 11241, August 26, 1965; EO       11360, June 30, 1967; EO 11497,       November 26, 1969
Amended by: EO 11563, September 26, 1970
Revoked by: EO 12553, February 25, 1986
See: Proc. 3989, June 16, 1970",11537,""
35 FR 10943, ,"","","",Presidential Document,Executive Order,07/08/1970,1970-07-02,"","Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule","Amends: EO 11248, October 10, 1965",11542,""
35 FR 11009, ,"","","",Presidential Document,Executive Order,07/09/1970,1970-07-07,"",Creating an emergency board to investigate disputes between the carriers represented by the National Railway Labor Conferences and certain of their employees,"Revoked by: EO 12553, February 25, 1986",11543,""
35 FR 11115, ,"","","",Presidential Document,Executive Order,07/10/1970,1970-07-08,"",Establishing the Vice Presidential Service Certificate and the Vice Presidential Service Badge,"Superseded by: EO 11926, July 19, 1976",11544,""
35 FR 11161, ,"","","",Presidential Document,Executive Order,07/11/1970,1970-07-09,"",Establishing the Defense Distinguished Service Medal,"",11545,""
35 FR 11219, ,"","","",Presidential Document,Executive Order,07/14/1970,1970-07-09,"",Establishing the President's Commission for the Observance of the Twenty-Fifth Anniversary of the United Nations,"Amended by: EO 11557, September 10, 1970",11546,""
35 FR 11677, ,"","","",Presidential Document,Executive Order,07/22/1970,1970-07-20,"","Delegating functions of the President under the Federal Water Pollution Control Act, as amended","Superseded by: EO 11735, August 3, 1973
See 49 CFR Part 1, sec. 1.46(m) (35 FR 14509)",11548,""
35 FR 12315, ,"","","",Presidential Document,Executive Order,08/01/1970,1970-07-30,"","Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule","Amends: EO 11248, October 10, 1965",11550,""
35 FR 13569, ,"","","",Presidential Document,Executive Order,08/26/1970,1970-08-24,"",Providing for details and transfers of Federal employees to international organizations,"Revokes: EO 10804, February 12, 1959
Amended by: EO 12107, December 28, 1978",11552,""
35 FR 14191, ,"","","",Presidential Document,Executive Order,09/09/1970,1970-09-02,"",Amending the Selective Service regulations,"Amends: EO 9979, July 20, 1948; EO       11360, June 30, 1967
Revoked by: EO 12553, February 25, 1986",11555,""
35 FR 14193, ,"","","",Presidential Document,Executive Order,09/09/1970,1970-09-04,"",Assigning telecommunications functions,"Revokes: EO 10695A, January 16, 1957; EO       10995, February 16, 1962; EO 11084, February       15, 1963
Amends: EO 10705, April 17, 1957; EO       11051, September 27, 1962; EO 11191, January       4, 1965; EO 11490, October 28, 1969
Superseded in part by: EO 11921, June 11,       1976
Revoked by: EO 12046, March 27, 1978
See: EO 11725, June 27, 1973 (transfer of       functions from OEP to GSA); Pub. L. 94-412 (90 Stat. 1255, 50 U.S.C. 1601)",11556,""
35 FR 14375, ,"","","",Presidential Document,Executive Order,09/12/1970,1970-09-10,"",Enlarging the membership of the President's Commission for the Observance of the Twenty-Fifth Anniversary of the United Nations,"Amends: EO 11546, July 9, 1970",11557,""
35 FR 14687, ,"","","",Presidential Document,Executive Order,09/22/1970,1970-09-18,"",Creating an emergency board to investigate disputes between the carriers represented by the National Railway Labor Conference and certain of their employees,"Revoked by: EO 12553, February 25, 1986",11559,""
35 FR 16155, ,"","","",Presidential Document,Executive Order,10/15/1970,1970-10-13,"",Amending Executive Order No. 11145 with respect to the membership of the Committee for the Preservation of the White House,"Amends: EO 11145, March 7, 1964",11565,""
35 FR 16675, ,"","","",Presidential Document,Executive Order,10/28/1970,1970-10-26,"",Consumer product information,"See: EO 11136, January 3, 1964; EO       11583, February 24, 1971",11566,""
35 FR 18105, ,"","","",Presidential Document,Executive Order,11/26/1970,1970-11-24,"",Amending the Selective Service regulations,"Amends: EO 10292, September 25, 1951
Revoked by: EO 12553, February 25, 1986",11569,""
35 FR 18907, ,"","","",Presidential Document,Executive Order,12/12/1970,1970-12-10,"",Providing for the use of transportation priorities and allocations during the current railroad strike,"See: EO 10480, August 14, 1953",11572,""
